,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6, ,C2,153 AVENUE B, ,10009,5,0,5,1633,6440,1900,2,C2,6625000,19/07/2017 0:00
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,3,31,4616,18690,1900,2,C7, -  ,14/12/2016 0:00
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD   STREET, ,10009,16,1,17,2212,7803,1900,2,C7, -  ,09/12/2016 0:00
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,21, ,C4,154 EAST 7TH STREET, ,10009,10,0,10,2272,6794,1913,2,C4,3936272,23/09/2016 0:00
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55, ,C2,301 EAST 10TH   STREET, ,10009,6,0,6,2369,4615,1900,2,C2,8000000,17/11/2016 0:00
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,405,16, ,C4,516 EAST 12TH   STREET, ,10009,20,0,20,2581,9730,1900,2,C4, -  ,20/07/2017 0:00
10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32, ,C4,210 AVENUE B, ,10009,8,0,8,1750,4226,1920,2,C4,3192840,23/09/2016 0:00
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,407,18, ,C7,520 EAST 14TH   STREET, ,10009,44,2,46,5163,21007,1900,2,C7, -  ,20/07/2017 0:00
12,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,379,34, ,D5,141 AVENUE D, ,10009,15,0,15,1534,9198,1920,2,D5, -  ,20/06/2017 0:00
,,,,,,,,,,,,,,,,,,,,,
14,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,394,44, ,D7,181 AVENUE C, ,10009,30,4,34,4295,21328,1910,2,D7, -  ,20/07/2017 0:00
15,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2B,400,21, ,D1,530-532 EAST 5TH STREET, ,10009,10,0,10,3717,12350,2009,2,D1,10350000,17/10/2016 0:00
16,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1C", ,10009,0,0,0, -  , -  ,1920,2,C6,1,06/09/2016 0:00
17,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1C", ,10009,0,0,0, -  , -  ,1920,2,C6,499000,10/03/2017 0:00
18,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 3A", ,10009,0,0,0, -  , -  ,1920,2,C6,10,28/04/2017 0:00
19,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3RD STREET, 5A", ,10009,0,0,0, -  , -  ,1920,2,C6,529500,09/06/2017 0:00
20,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 2E", ,10009,0,0,0, -  , -  ,1920,2,C6,423000,14/07/2017 0:00
21,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST 3RD STREET, 12", ,10009,0,0,0, -  , -  ,1925,2,C6,501000,16/03/2017 0:00
22,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 17", ,10009,0,0,0, -  , -  ,1920,2,C6,450000,01/09/2016 0:00
23,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD, 22", ,10009,0,0,0, -  , -  ,1920,2,C6,510000,17/08/2017 0:00
24,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,374,8, ,C6,"702 EAST 5TH STREET, 5E", ,10009,0,0,0, -  , -  ,1900,2,C6, -  ,07/09/2016 0:00
25,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 1", ,10009,0,0,0, -  , -  ,1902,2,C6,350000,30/08/2017 0:00
26,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,24,0,24,4131,16776,1928,2,C6,11900000,21/06/2017 0:00
27,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,0,0,0, -  , -  ,1928,2,C6,11900000,21/06/2017 0:00
28,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 24", ,10009,0,0,0, -  , -  ,1928,2,C6,350000,30/01/2017 0:00
29,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 2", ,10009,0,0,0, -  , -  ,1928,2,C6,404000,07/07/2017 0:00
30,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,19, ,C6,"254 EAST  7TH STREET, 4", ,10009,0,0,0, -  , -  ,1910,2,C6,535000,21/06/2017 0:00
31,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,54, ,C6,"267 EAST 7 ST, 4", ,10009,0,0,0, -  , -  ,1920,2,C6,1400000,04/08/2017 0:00
32,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,60, ,C6,"255 EAST 7TH STREET, 3F", ,10009,0,0,0, -  , -  ,1900,2,C6,866000,09/01/2017 0:00
33,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH   STREET, 4E", ,10009,0,0,0, -  , -  ,1930,2,C6,355000,18/04/2017 0:00
34,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH STREET, 1C", ,10009,0,0,0, -  , -  ,1930,2,C6, -  ,19/06/2017 0:00
35,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,21, ,C6,"206 EAST 7TH STREET, 17,18", ,10009,0,0,0, -  , -  ,1900,2,C6,805000,28/08/2017 0:00
36,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,49, ,C6,"623 EAST 6TH STREET, 8", ,10009,0,0,0, -  , -  ,1910,2,C6,475000,10/05/2017 0:00
37,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 6", ,10009,0,0,0, -  , -  ,1920,2,C6,450000,02/12/2016 0:00
38,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 10", ,10009,0,0,0, -  , -  ,1920,2,C6,450000,31/01/2017 0:00
39,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,390,55, ,C6,"199 EAST 7TH   STREET, 2C", ,10009,0,0,0, -  , -  ,1935,2,C6,810000,28/06/2017 0:00
40,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"616 EAST 9TH STREET, 4W", ,10009,0,0,0, -  , -  ,1910,2,C6, -  ,07/12/2016 0:00
41,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"618 EAST 9TH STREET, 2 E", ,10009,0,0,0, -  , -  ,1910,2,C6,300000,24/08/2017 0:00
42,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"620 EAST 9TH STREET, 3E", ,10009,0,0,0, -  , -  ,1910,2,C6,300000,30/08/2017 0:00
43,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,48, ,C6,"323 EAST 8TH STREET, 2A", ,10009,0,0,0, -  , -  ,1910,2,C6,579000,27/06/2017 0:00
44,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,57, ,C6,"303 EAST 8TH STREET, 3F", ,10009,0,0,0, -  , -  ,1900,2,C6,1500000,17/03/2017 0:00
45,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,393,39, ,C6,"163 AVENUE C, 2", ,10009,0,0,0, -  , -  ,1900,2,C6,25000,14/06/2017 0:00
46,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 12", ,10009,0,0,0, -  , -  ,1937,2,C6,512000,17/01/2017 0:00
47,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 23", ,10009,0,0,0, -  , -  ,1937,2,C6,410000,11/01/2017 0:00
48,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 19", ,10009,0,0,0, -  , -  ,1937,2,C6,500000,21/04/2017 0:00
49,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 E 11TH ST, 17", ,10009,0,0,0, -  , -  ,1937,2,C6,510000,29/06/2017 0:00
50,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"634 EAST 14TH STREET, 1", ,10009,0,0,0, -  , -  ,1920,2,C6,475000,05/10/2016 0:00
51,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"634 EAST 14TH STREET, 4", ,10009,0,0,0, -  , -  ,1920,2,C6,789019,02/02/2017 0:00
52,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"626 EAST 14TH STREET, 5", ,10009,0,0,0, -  , -  ,1920,2,C6, -  ,20/03/2017 0:00
53,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"632 EAST 14TH STREET, 15", ,10009,0,0,0, -  , -  ,1920,2,C6, -  ,20/03/2017 0:00
54,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"632 EAST 14TH STREET, 3", ,10009,0,0,0, -  , -  ,1920,2,C6,425000,13/04/2017 0:00
55,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"626 EAST 14TH STREET, 9", ,10009,0,0,0, -  , -  ,1920,2,C6,490000,29/06/2017 0:00
56,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2ND STREET, C", ,10009,0,0,0, -  , -  ,1915,2,C6,409000,06/06/2017 0:00
57,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2ND STREET, 2B", ,10009,0,0,0, -  , -  ,1915,2,C6,415000,17/07/2017 0:00
58,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 3A", ,10009,0,0,0, -  , -  ,1950,2,C6,420000,06/12/2016 0:00
59,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 1C", ,10009,0,0,0, -  , -  ,1950,2,C6,435000,13/07/2017 0:00
60,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6,"225 EAST 4TH STREET, 1", ,10009,0,0,0, -  , -  ,1937,2,C6,575000,17/05/2017 0:00
61,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6,"225 EAST 4TH STREET, 20", ,10009,0,0,0, -  , -  ,1937,2,C6,605000,28/08/2017 0:00
62,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6,"504 EAST 6TH STREET, 1", ,10009,0,0,0, -  , -  ,1900,2,C6,799000,31/05/2017 0:00
63,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6,"504 EAST 6TH STREET, 5", ,10009,0,0,0, -  , -  ,1900,2,C6,800000,12/07/2017 0:00
64,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,50, ,C6,"527 EAST 5 STREET, 1", ,10009,0,0,0, -  , -  ,1900,2,C6,54993,19/01/2017 0:00
65,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,401,57, ,C6,"513 EAST 5TH STREET, 3A", ,10009,0,0,0, -  , -  ,1929,2,C6,410000,14/12/2016 0:00
66,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,402,47, ,C6,"537 EAST 6TH STREET, 5", ,10009,0,0,0, -  , -  ,1900,2,C6,1475000,03/05/2017 0:00
67,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,10, ,C6,"512 EAST 11TH STREET, 5C", ,10009,0,0,0, -  , -  ,1929,2,C6,335000,29/09/2016 0:00
68,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,21, ,C6,"534 EAST 11TH STREET, 21", ,10009,0,0,0, -  , -  ,1920,2,C6,490000,07/08/2017 0:00
69,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,26, ,C6,"544 EAST 11TH STREET, 3A", ,10009,0,0,0, -  , -  ,1928,2,C6,750000,20/01/2017 0:00
70,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,27, ,C6,"546 EAST 11TH STREET, 2B", ,10009,0,0,0, -  , -  ,1900,2,C6,780000,23/02/2017 0:00
71,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,57, ,C6,"297 EAST 10TH STREET, 2", ,10009,0,0,0, -  , -  ,1925,2,C6,2400000,12/09/2016 0:00
72,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,405,51, ,C6,"519 EAST 11TH STREET, 4W", ,10009,0,0,0, -  , -  ,1910,2,C6,380000,09/08/2017 0:00
73,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,50, ,C6,"527 EAST 12TH   STREET, E2", ,10009,0,0,0, -  , -  ,1901,2,C6,430000,07/04/2017 0:00
74,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,379,45, ,D0,"735 EAST 9 STREET, 3RW", ,10009,0,0,0, -  , -  ,1920,2,D0,499900,13/04/2017 0:00
75,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,36, ,D0,"300 EAST 4TH STREET, 1D", ,10009,0,0,0, -  , -  ,1940,2,D0,1400000,11/05/2017 0:00
76,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,58, ,D4,"223 EAST 3RD STREET, 2D", ,10009,0,0,0, -  , -  ,1900,2,D4,694000,29/09/2016 0:00
77,1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,385,1102, ,RR,254 EAST 2ND STREET,RES,10009,47,0,47, -  ,36472,2005,2,RR,28000000,13/10/2016 0:00
78,1,ALPHABET CITY,11A CONDO-RENTALS                           , ,394,1602, , ,183-189 AVENUE B, ,0,0,0,0, -  , -  ,0,2,RR,8058923,09/08/2017 0:00
79,1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,397,1301, ,RR,250 EAST HOUSTON STREET,UNIT1,10002,132,0,132,33650, -  ,1989,2,RR,52625000,19/10/2016 0:00
80,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,386,1002, ,R2,211 EAST 3RD   STREET,1B,10009,1,0,1, -  , -  ,0,2,R2,620000,30/12/2016 0:00
81,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,398,1039, ,R2,182 EAST 2ND   STREET,6E,10009,1,0,1, -  , -  ,0,2,R2, -  ,24/02/2017 0:00
82,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,405,1211, ,R2,511 EAST 11TH STREET,C3,10009,1,0,1, -  , -  ,0,2,R2, -  ,20/07/2017 0:00
83,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1003, ,R4,324 EAST 4TH STREET,3A,10009,1,0,1, -  , -  ,1920,2,R4,762669,21/09/2016 0:00
84,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1004, ,R4,324 EAST 4TH STREET,3B,10009,1,0,1, -  , -  ,1920,2,R4,772851,12/09/2016 0:00
85,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1005, ,R4,324 EAST 4TH   STREET,4A,10009,1,0,1, -  , -  ,1920,2,R4,1034880,03/11/2016 0:00
86,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1006, ,R4,324 EAST 4TH   STREET,4B,10009,1,0,1, -  , -  ,1920,2,R4, -  ,03/11/2016 0:00
87,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1007, ,R4,324 EAST 4TH   STREET,5A,10009,1,0,1, -  , -  ,1920,2,R4, -  ,03/11/2016 0:00
88,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1008, ,R4,324 EAST 4TH   STREET,5B,10009,1,0,1, -  , -  ,1920,2,R4, -  ,03/11/2016 0:00
89,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1009, ,R4,324 EAST 4TH STREET,6A,10009,1,0,1, -  , -  ,1920,2,R4,800000,07/09/2016 0:00
90,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1011, ,R4,324 EAST 4TH   STREET,PH,10009,1,0,1, -  , -  ,1920,2,R4,2295759,01/09/2016 0:00
91,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,375,1004, ,R4,754 EAST 6TH   STREET,2B,10009,1,0,1, -  , -  ,0,2,R4,875000,31/03/2017 0:00
92,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1001, ,R4,399 EAST 8TH   STREET,1A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
93,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1002, ,R4,399 EAST 8TH   STREET,1B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
94,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1003, ,R4,399 EAST 8TH   STREET,2A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
95,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1004, ,R4,399 EAST 8TH   STREET,2B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
96,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1005, ,R4,399 EAST 8TH   STREET,2C,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
97,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1006, ,R4,399 EAST 8TH   STREET,2D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
98,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1007, ,R4,399 EAST 8TH   STREET,3A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
99,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1008, ,R4,399 EAST 8TH   STREET,3B,10009,1,0,1, -  , -  ,2014,2,R4,701341,14/02/2017 0:00
100,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1009, ,R4,399 EAST 8TH   STREET,3C,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
101,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1010, ,R4,399 EAST 8TH   STREET,3D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
102,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1011, ,R4,399 EAST 8TH   STREET,4A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
103,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1012, ,R4,399 EAST 8TH   STREET,4B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
104,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1013, ,R4,399 EAST 8TH   STREET,4C,10009,1,0,1, -  , -  ,2014,2,R4,753421,01/02/2017 0:00
105,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1014, ,R4,399 EAST 8TH   STREET,4D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
106,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1015, ,R4,399 EAST 8TH   STREET,5A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
107,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1016, ,R4,399 EAST 8TH   STREET,5B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
108,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1017, ,R4,399 EAST 8TH   STREET,5C,10009,1,0,1, -  , -  ,2014,2,R4,771980,08/05/2017 0:00
109,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1018, ,R4,399 EAST 8TH   STREET,5D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
110,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1020, ,R4,399 EAST 8TH   STREET,6B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
111,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1021, ,R4,399 EAST 8TH   STREET,6C,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
112,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1022, ,R4,399 EAST 8TH   STREET,6D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
113,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1023, ,R4,399 EAST 8TH   STREET,7A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
114,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1024, ,R4,399 EAST 8TH   STREET,7B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
115,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1025, ,R4,399 EAST 8TH   STREET,7C,10009,1,0,1, -  , -  ,2014,2,R4, -  ,14/07/2017 0:00
116,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1026, ,R4,399 EAST 8TH   STREET,7D,10009,1,0,1, -  , -  ,2014,2,R4,1247356,31/01/2017 0:00
117,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1027, ,R4,399 EAST 8TH   STREET,8A,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
118,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1028, ,R4,399 EAST 8TH   STREET,8B,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
119,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1029, ,R4,399 EAST 8TH   STREET,8C,10009,1,0,1, -  , -  ,2014,2,R4, -  ,25/05/2017 0:00
120,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,384,1222, ,R4,310 EAST HOUSTON STREET,PHC,10002,1,0,1, -  , -  ,2005,2,R4,2150000,14/08/2017 0:00
121,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,390,1009, ,R4,217 EAST 7TH STREET,2D,10009,1,0,1, -  , -  ,0,2,R4,550000,23/06/2017 0:00
122,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,390,1014, ,R4,217 EAST 7TH   STREET,5A-B,10009,1,0,1, -  , -  ,0,2,R4,1085000,27/03/2017 0:00
123,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1046, ,R4,143 AVENUE B,9D,10009,1,0,1, -  , -  ,1928,2,R4, -  ,24/02/2017 0:00
124,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1051, ,R4,143 AVENUE B,10B,10009,1,0,1, -  , -  ,1928,2,R4, -  ,22/04/2017 0:00
125,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1052, ,R4,143 AVENUE B,10C,10009,1,0,1, -  , -  ,1928,2,R4, -  ,22/04/2017 0:00
126,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1113, ,R4,631 EAST 9TH   STREET,1A&CA,10009,1,0,1, -  , -  ,2005,2,R4,910000,06/07/2017 0:00
127,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1507, ,R4,189 AVENUE C,3B,10009,1,0,1, -  , -  ,1910,2,R4,910000,12/06/2017 0:00
128,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1510, ,R4,189 AVENUE C,3E,10009,1,0,1, -  , -  ,1910,2,R4,730000,22/06/2017 0:00
129,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1513, ,R4,189 AVENUE C,4C,10009,1,0,1, -  , -  ,1910,2,R4,725000,17/02/2017 0:00
130,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1523, ,R4,189 AVENUE C,6C,10009,1,0,1, -  , -  ,1910,2,R4, -  ,08/09/2016 0:00
131,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1531, ,R4,189 AVENUE C,8E,10009,1,0,1, -  , -  ,1910,2,R4,1300000,23/12/2016 0:00
132,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1536, ,R4,189 AVENUE C,10D,10009,1,0,1, -  , -  ,1910,2,R4,770000,24/08/2017 0:00
133,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,396,1012, ,R4,215 AVENUE B,1012,10009,1,0,1, -  , -  ,2008,2,R4,1750000,14/08/2017 0:00
134,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1018, ,R4,175 EAST 2ND STREET,4D,10009,1,0,1, -  , -  ,0,2,R4,1150000,24/07/2017 0:00
135,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1104, ,R4,240 EAST HOUSTON STREET,2B,10002,1,0,1, -  , -  ,0,2,R4,2085000,09/01/2017 0:00
